['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
87.0 , 3313.33333333 , 3896.41025641 , 4137.43589744 , 3782.05128205 , 4601.02564103 , 4094.35897436 , 4472.30769231 , 4317.94871795 , 4288.20512821 , 4353.33333333 , 4234.87179487 , 4077.43589744 , 3543.58974359 , 3761.53846154 , 1690.0 , 1671.0 , 3.072 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 3315.8974359 , 3912.30769231 , 4139.48717949 , 3787.69230769 , 4608.71794872 , 4092.30769231 , 4472.30769231 , 4328.20512821 , 4296.41025641 , 4365.64102564 , 4240.51282051 , 4079.48717949 , 3553.33333333 , 3762.05128205 , 1689.0 , 1671.0 , 3.078 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 3315.38461538 , 3906.66666667 , 4137.94871795 , 3786.15384615 , 4618.46153846 , 4092.82051282 , 4472.30769231 , 4332.30769231 , 4298.46153846 , 4373.33333333 , 4242.05128205 , 4082.56410256 , 3562.56410256 , 3762.56410256 , 1688.0 , 1672.0 , 3.104 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 3313.33333333 , 3892.30769231 , 4135.8974359 , 3785.12820513 , 4611.28205128 , 4091.79487179 , 4472.30769231 , 4327.17948718 , 4296.41025641 , 4365.64102564 , 4231.79487179 , 4080.51282051 , 3552.82051282 , 3755.8974359 , 1688.0 , 1671.0 , 3.104 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 3314.35897436 , 3893.84615385 , 4138.46153846 , 3785.12820513 , 4610.25641026 , 4092.82051282 , 4472.30769231 , 4325.64102564 , 4296.41025641 , 4357.43589744 , 4222.56410256 , 4076.92307692 , 3543.58974359 , 3753.84615385 , 1686.0 , 1671.0 , 3.104 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 3313.84615385 , 3896.92307692 , 4138.97435897 , 3781.02564103 , 4617.94871795 , 4092.82051282 , 4472.30769231 , 4325.64102564 , 4296.92307692 , 4357.43589744 , 4222.56410256 , 4076.92307692 , 3539.48717949 , 3752.82051282 , 1686.0 , 1672.0 , 3.11 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 3310.25641026 , 3892.30769231 , 4137.94871795 , 3780.51282051 , 4608.71794872 , 4091.28205128 , 4472.30769231 , 4325.64102564 , 4295.8974359 , 4355.38461538 , 4226.15384615 , 4079.48717949 , 3539.48717949 , 3752.30769231 , 1686.0 , 1672.0 , 3.134 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 3311.79487179 , 3895.38461538 , 4138.97435897 , 3785.12820513 , 4602.56410256 , 4091.28205128 , 4472.30769231 , 4329.74358974 , 4297.94871795 , 4356.92307692 , 4234.87179487 , 4082.05128205 , 3547.69230769 , 3758.97435897 , 1685.0 , 1672.0 , 3.134 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 3311.79487179 , 3898.46153846 , 4137.94871795 , 3785.64102564 , 4624.61538462 , 4091.79487179 , 4472.30769231 , 4329.74358974 , 4298.46153846 , 4357.94871795 , 4234.35897436 , 4081.53846154 , 3544.61538462 , 3759.48717949 , 1687.0 , 1671.0 , 3.134 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 3309.23076923 , 3895.8974359 , 4135.8974359 , 3786.15384615 , 4633.84615385 , 4091.28205128 , 4472.30769231 , 4323.58974359 , 4290.76923077 , 4348.71794872 , 4224.1025641 , 4077.43589744 , 3534.87179487 , 3752.82051282 , 1686.0 , 1672.0 , 3.141 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 3309.74358974 , 3901.02564103 , 4134.87179487 , 3786.66666667 , 4617.43589744 , 4089.74358974 , 4472.30769231 , 4320.51282051 , 4283.07692308 , 4346.15384615 , 4219.48717949 , 4074.87179487 , 3533.33333333 , 3750.25641026 , 1688.0 , 1672.0 , 3.163 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 3314.35897436 , 3909.74358974 , 4135.38461538 , 3785.12820513 , 4620.0 , 4087.17948718 , 4472.30769231 , 4327.69230769 , 4287.17948718 , 4366.66666667 , 4227.17948718 , 4078.46153846 , 3543.58974359 , 3755.38461538 , 1688.0 , 1671.0 , 3.163 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 3318.46153846 , 3911.79487179 , 4135.8974359 , 3791.28205128 , 4636.92307692 , 4088.71794872 , 4472.30769231 , 4337.43589744 , 4296.41025641 , 4383.07692308 , 4240.0 , 4084.1025641 , 3556.41025641 , 3764.1025641 , 1689.0 , 1671.0 , 3.165 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 3317.43589744 , 3909.23076923 , 4132.82051282 , 3801.53846154 , 4631.79487179 , 4090.25641026 , 4472.30769231 , 4333.84615385 , 4291.79487179 , 4375.38461538 , 4245.64102564 , 4085.64102564 , 3558.46153846 , 3770.76923077 , 1689.0 , 1671.0 , 3.172 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 3317.43589744 , 3909.23076923 , 4132.30769231 , 3798.46153846 , 4616.41025641 , 4084.61538462 , 4472.30769231 , 4325.12820513 , 4285.64102564 , 4369.74358974 , 4249.74358974 , 4085.64102564 , 3550.76923077 , 3767.69230769 , 1689.0 , 1671.0 , 3.195 , 0.0 , 0.0 , 0.0 , 0.0 , 

102.0 , 3317.43589744 , 3909.74358974 , 4134.35897436 , 3787.69230769 , 4617.94871795 , 4082.56410256 , 4472.30769231 , 4324.1025641 , 4291.28205128 , 4370.25641026 , 4247.17948718 , 4085.64102564 , 3549.23076923 , 3757.43589744 , 1688.0 , 1672.0 , 3.195 , 0.0 , 0.0 , 0.0 , 0.0 , 

103.0 , 3315.8974359 , 3909.23076923 , 4132.82051282 , 3782.56410256 , 4627.17948718 , 4089.23076923 , 4472.30769231 , 4325.12820513 , 4294.35897436 , 4364.61538462 , 4234.87179487 , 4081.53846154 , 3554.35897436 , 3752.30769231 , 1687.0 , 1673.0 , 3.197 , 0.0 , 0.0 , 0.0 , 0.0 , 

104.0 , 3321.02564103 , 3908.71794872 , 4131.28205128 , 3786.15384615 , 4622.56410256 , 4089.74358974 , 4472.30769231 , 4325.64102564 , 4292.82051282 , 4370.76923077 , 4231.28205128 , 4079.48717949 , 3556.92307692 , 3756.92307692 , 1686.0 , 1670.0 , 3.203 , 0.0 , 0.0 , 0.0 , 0.0 , 

105.0 , 3327.69230769 , 3908.71794872 , 4135.8974359 , 3793.84615385 , 4612.82051282 , 4083.07692308 , 4472.30769231 , 4325.12820513 , 4295.8974359 , 4380.51282051 , 4237.43589744 , 4083.07692308 , 3557.43589744 , 3760.0 , 1684.0 , 1671.0 , 3.227 , 0.0 , 0.0 , 0.0 , 0.0 , 

106.0 , 3321.53846154 , 3911.79487179 , 4133.84615385 , 3791.79487179 , 4619.48717949 , 4081.53846154 , 4472.30769231 , 4318.97435897 , 4297.43589744 , 4370.25641026 , 4234.87179487 , 4081.02564103 , 3550.76923077 , 3752.82051282 , 1685.0 , 1670.0 , 3.227 , 0.0 , 0.0 , 0.0 , 0.0 , 

107.0 , 3312.30769231 , 3912.82051282 , 4127.17948718 , 3782.56410256 , 4628.71794872 , 4078.97435897 , 4472.30769231 , 4317.94871795 , 4293.33333333 , 4361.53846154 , 4229.23076923 , 4074.87179487 , 3538.97435897 , 3751.79487179 , 1684.0 , 1671.0 , 3.227 , 0.0 , 0.0 , 0.0 , 0.0 , 

108.0 , 3323.07692308 , 3913.84615385 , 4130.76923077 , 3782.05128205 , 4620.0 , 4076.92307692 , 4472.30769231 , 4327.17948718 , 4295.8974359 , 4381.02564103 , 4238.46153846 , 4081.02564103 , 3542.56410256 , 3767.17948718 , 1687.0 , 1672.0 , 3.235 , 0.0 , 0.0 , 0.0 , 0.0 , 

109.0 , 3333.33333333 , 3912.82051282 , 4136.92307692 , 3787.17948718 , 4621.02564103 , 4081.53846154 , 4472.30769231 , 4327.17948718 , 4297.43589744 , 4382.56410256 , 4242.05128205 , 4087.17948718 , 3548.20512821 , 3772.30769231 , 1686.0 , 1671.0 , 3.259 , 0.0 , 0.0 , 0.0 , 0.0 , 

110.0 , 3324.1025641 , 3905.64102564 , 4135.38461538 , 3788.20512821 , 4639.48717949 , 4084.61538462 , 4472.30769231 , 4315.8974359 , 4289.74358974 , 4356.92307692 , 4228.20512821 , 4078.97435897 , 3538.97435897 , 3755.8974359 , 1688.0 , 1672.0 , 3.259 , 0.0 , 0.0 , 0.0 , 0.0 , 

111.0 , 3317.94871795 , 3903.07692308 , 4133.84615385 , 3791.79487179 , 4642.56410256 , 4082.56410256 , 4472.30769231 , 4313.33333333 , 4286.15384615 , 4358.46153846 , 4226.66666667 , 4075.8974359 , 3542.05128205 , 3750.76923077 , 1689.0 , 1671.0 , 3.259 , 0.0 , 0.0 , 0.0 , 0.0 , 

112.0 , 3320.51282051 , 3908.71794872 , 4136.92307692 , 3793.84615385 , 4627.69230769 , 4082.05128205 , 4472.30769231 , 4323.58974359 , 4294.87179487 , 4385.64102564 , 4244.1025641 , 4083.07692308 , 3558.46153846 , 3764.1025641 , 1689.0 , 1671.0 , 3.266 , 0.0 , 0.0 , 0.0 , 0.0 , 

113.0 , 3315.8974359 , 3909.23076923 , 4135.38461538 , 3787.17948718 , 4625.64102564 , 4078.46153846 , 4472.30769231 , 4329.23076923 , 4297.94871795 , 4385.12820513 , 4248.71794872 , 4082.56410256 , 3560.0 , 3762.05128205 , 1689.0 , 1671.0 , 3.288 , 0.0 , 0.0 , 0.0 , 0.0 , 

114.0 , 3316.41025641 , 3908.71794872 , 4132.30769231 , 3786.66666667 , 4625.64102564 , 4073.84615385 , 4472.30769231 , 4320.51282051 , 4288.20512821 , 4371.79487179 , 4239.48717949 , 4080.0 , 3550.76923077 , 3751.79487179 , 1689.0 , 1671.0 , 3.288 , 0.0 , 0.0 , 0.0 , 0.0 , 

